L			B			a		sigma_a	b		sigma_b	n
0,785398	1,525432	0,10	180%	0,005	578%	26
2,356194	1,525432	-0,02	662%	0,026	97%	21
3,926991	1,525432	-0,06	290%	0,027	116%	26
5,497787	1,525432	0,24	141%	0,004	1230%	20
0,392699	1,480043	0,38	70%	-0,016	333%	20
1,178097	1,480043	0,34	41%	-0,017	156%	19
1,963495	1,480043	-0,02	1293%	0,078	57%	19
2,748894	1,480043	0,33	56%	-0,039	83%	20
3,534292	1,480043	-0,05	356%	0,007	331%	20
4,319690	1,480043	0,06	539%	0,020	248%	22
5,105088	1,480043	0,63	31%	-0,081	39%	23
5,890486	1,480043	0,31	89%	0,004	1166%	28
0,261799	1,434608	0,29	81%	-0,027	151%	25
0,785398	1,434608	0,47	64%	-0,083	62%	16
1,308997	1,434608	0,19	162%	-0,020	275%	22
1,832596	1,434608	0,73	22%	-0,039	74%	21
2,356194	1,434608	0,16	281%	0,015	596%	22
2,879793	1,434608	-0,18	80%	0,061	44%	25
3,403392	1,434608	-0,09	122%	0,011	168%	20
3,926991	1,434608	0,56	20%	-0,055	28%	28
4,450590	1,434608	0,40	95%	-0,056	107%	22
4,974188	1,434608	0,49	39%	-0,023	110%	17
5,497787	1,434608	0,34	132%	-0,004	1880%	21
6,021386	1,434608	0,67	59%	0,013	438%	21
0,196350	1,389103	1,08	37%	-0,089	67%	22
0,589049	1,389103	-0,54	67%	0,121	45%	19
0,981748	1,389103	-0,50	69%	0,072	70%	21
1,374447	1,389103	0,52	41%	-0,047	82%	26
1,767146	1,389103	0,24	77%	-0,030	101%	31
2,159845	1,389103	0,17	232%	0,001	4580%	20
2,552544	1,389103	-0,13	256%	0,038	129%	21
2,945243	1,389103	-0,10	153%	0,038	69%	23
3,337942	1,389103	-0,07	219%	0,051	44%	21
3,730641	1,389103	0,22	96%	-0,022	151%	23
4,123340	1,389103	-0,01	3586%	-0,006	457%	20
4,516039	1,389103	0,82	36%	-0,037	115%	19
4,908739	1,389103	0,08	272%	0,035	105%	20
5,301438	1,389103	1,39	28%	-0,157	39%	20
5,694137	1,389103	-0,26	118%	0,047	94%	21
6,086836	1,389103	0,49	84%	-0,003	2095%	18
0,157080	1,343503	-0,43	71%	0,148	35%	22
0,471239	1,343503	0,15	271%	0,037	211%	18
0,785398	1,343503	-0,19	126%	0,048	89%	22
1,099557	1,343503	-0,26	114%	0,053	91%	23
1,413717	1,343503	0,62	91%	-0,086	110%	17
1,727876	1,343503	-0,93	64%	0,070	121%	26
2,042035	1,343503	-0,19	159%	0,058	95%	19
2,356194	1,343503	0,19	63%	-0,008	225%	32
2,670354	1,343503	-0,39	43%	0,103	26%	23
2,984513	1,343503	0,67	37%	-0,103	44%	16
3,298672	1,343503	-0,04	489%	0,032	100%	17
3,612832	1,343503	-0,08	308%	0,029	148%	18
3,926991	1,343503	0,66	67%	-0,059	114%	17
4,241150	1,343503	0,03	1708%	-0,001	4576%	14
4,555309	1,343503	0,02	1225%	-0,014	323%	18
4,869469	1,343503	1,72	21%	-0,236	30%	18
5,183628	1,343503	-0,20	182%	0,089	56%	19
5,497787	1,343503	0,19	191%	0,014	360%	20
5,811946	1,343503	0,23	297%	0,072	157%	18
6,126106	1,343503	-0,18	245%	0,067	114%	19
0,130900	1,297784	0,04	967%	0,044	172%	18
0,392699	1,297784	0,32	124%	-0,009	760%	18
0,654498	1,297784	0,25	119%	0,030	168%	16
0,916298	1,297784	0,70	57%	-0,039	148%	19
1,178097	1,297784	0,54	66%	-0,058	118%	19
1,439897	1,297784	0,37	94%	-0,074	71%	18
1,701696	1,297784	0,78	60%	-0,178	40%	12
1,963495	1,297784	-0,01	3374%	0,112	57%	14
2,225295	1,297784	-0,18	88%	0,049	62%	20
2,487094	1,297784	0,16	117%	0,010	357%	21
2,748894	1,297784	0,14	236%	-0,030	143%	21
3,010693	1,297784	-0,09	165%	0,047	54%	25
3,272492	1,297784	0,35	107%	-0,017	395%	17
3,534292	1,297784	0,44	26%	-0,074	32%	13
3,796091	1,297784	-0,24	72%	0,087	34%	27
4,057891	1,297784	0,22	153%	0,025	237%	15
4,319690	1,297784	0,57	69%	-0,002	2597%	14
4,581489	1,297784	0,02	2273%	-0,002	1756%	12
4,843289	1,297784	-0,34	145%	0,127	69%	18
5,105088	1,297784	0,52	60%	-0,038	124%	20
5,366887	1,297784	1,18	26%	-0,106	44%	20
5,628687	1,297784	-0,17	211%	0,045	124%	19
5,890486	1,297784	0,20	89%	-0,000	9773%	21
6,152286	1,297784	0,62	58%	-0,026	252%	16
0,112200	1,251921	0,08	448%	0,075	87%	18
0,336599	1,251921	1,16	31%	-0,046	114%	26
0,560999	1,251921	0,41	59%	-0,024	169%	23
0,785398	1,251921	-0,28	160%	0,026	221%	18
1,009798	1,251921	1,00	46%	-0,182	37%	21
1,234197	1,251921	0,73	37%	-0,106	42%	20
1,458597	1,251921	1,02	56%	-0,141	81%	17
1,682996	1,251921	0,40	74%	-0,108	43%	18
1,907396	1,251921	1,10	32%	-0,198	26%	21
2,131795	1,251921	0,56	27%	-0,091	30%	14
2,356194	1,251921	0,41	64%	-0,020	194%	15
2,580594	1,251921	-0,20	101%	0,063	53%	23
2,804993	1,251921	-0,24	90%	0,032	128%	24
3,029393	1,251921	-0,40	105%	0,032	213%	14
3,253792	1,251921	0,23	164%	0,033	190%	14
3,478192	1,251921	0,60	55%	-0,017	286%	21
3,702591	1,251921	-0,16	253%	0,021	299%	14
3,926991	1,251921	1,26	22%	-0,107	42%	12
4,151390	1,251921	0,78	37%	-0,018	277%	24
4,375790	1,251921	1,11	41%	-0,065	105%	26
4,600189	1,251921	0,64	37%	0,007	549%	14
4,824589	1,251921	1,41	34%	-0,123	66%	15
5,048988	1,251921	0,17	311%	0,009	660%	20
5,273388	1,251921	1,64	28%	-0,078	96%	20
5,497787	1,251921	0,97	25%	-0,087	44%	21
5,722187	1,251921	1,04	42%	-0,109	64%	13
5,946586	1,251921	0,09	350%	-0,001	4779%	22
6,170986	1,251921	0,96	31%	-0,082	61%	24
0,098175	1,205888	0,94	36%	-0,065	73%	23
0,294524	1,205888	0,79	68%	0,029	302%	19
0,490874	1,205888	0,17	371%	-0,024	425%	17
0,687223	1,205888	-0,19	191%	0,057	100%	14
0,883573	1,205888	0,83	91%	-0,057	198%	17
1,079922	1,205888	0,24	207%	-0,086	75%	27
1,276272	1,205888	0,84	42%	-0,133	42%	26
1,472622	1,205888	0,33	131%	-0,007	1068%	20
1,668971	1,205888	-0,14	367%	-0,035	231%	15
1,865321	1,205888	0,30	109%	-0,002	2843%	19
2,061670	1,205888	-0,79	54%	0,108	75%	12
2,258020	1,205888	0,40	48%	-0,051	70%	11
2,454369	1,205888	0,36	83%	-0,079	62%	19
2,650719	1,205888	0,36	66%	-0,030	151%	17
2,847068	1,205888	0,96	29%	-0,107	39%	28
3,043418	1,205888	0,91	28%	-0,094	43%	31
3,239767	1,205888	1,36	32%	-0,061	124%	17
3,436117	1,205888	1,19	30%	-0,126	52%	19
3,632467	1,205888	-0,64	56%	0,129	39%	21
3,828816	1,205888	2,10	13%	-0,205	21%	12
4,025166	1,205888	0,17	313%	-0,002	3134%	17
4,221515	1,205888	0,25	248%	-0,041	205%	11
4,417865	1,205888	0,14	277%	-0,001	9396%	18
4,614214	1,205888	0,01	2790%	0,081	61%	26
4,810564	1,205888	1,14	25%	-0,010	502%	17
5,006913	1,205888	0,90	45%	-0,070	91%	17
5,203263	1,205888	1,32	30%	-0,182	37%	21
5,399612	1,205888	-0,14	418%	0,095	71%	15
5,595962	1,205888	0,94	40%	-0,035	189%	16
5,792311	1,205888	0,89	39%	-0,045	113%	23
5,988661	1,205888	0,06	820%	0,067	115%	22
6,185011	1,205888	0,14	225%	0,021	232%	27
0,087266	1,159658	-0,82	50%	0,180	48%	12
0,261799	1,159658	-0,06	566%	0,029	197%	20
0,436332	1,159658	0,58	117%	-0,028	405%	16
