hip	spect	ext	sigma_ext
28823	F3V	-0.02	0.01
28830	K0III:	-0.06	0.01
28833	K0III:	-0.08	0.02
28846	G0V:	-0.12	0.03
28854	F4V:	-0.04	0.00
28861	B9V:	-0.01	0.00
28868	G0V:	-0.04	0.01
28874	M5III	-0.36	0.01
28875	K2III:	-0.19	0.02
28879	K0III	-0.04	0.01
28906	K1/K2III	-0.16	0.05
28925	K0III:	-0.10	0.02
28940	K4:V:	-0.06	0.02
28951	K0III:	-0.02	0.01
28964	K5V	-0.04	0.01
28967	K0III	-0.04	0.01
28974	K5III:	-0.35	0.05
28984	M3II/III	-0.06	0.01
28996	G5V:	-0.13	0.02
29033	K0III:	-0.04	0.01
29036	M0V:	-0.20	0.02
29063	K2V	-0.04	0.00
29067	K8V:	-0.07	0.02
29068	K2III:	-0.04	0.01
29080	F8V:	-0.06	0.02
29139	K5III:	-0.13	0.04
29151	A3V	-0.02	0.01
29157	K1III	-0.13	0.02
29185	F8V	-0.02	0.01
29193	G6:III/IV	-0.21	0.02
29194	A0V	-0.02	0.00
29205	K2III	-0.05	0.01
29219	K0III:	-0.07	0.02
29243	A0V:	-0.09	0.02
29254	K5III:	-0.55	0.02
29292	G6:III	-0.09	0.01
29294	K1III	-0.04	0.00
29315	K0III	-0.04	0.01
29399	K0III	-0.04	0.01
29411	K2III	-0.08	0.02
29432	G4V	-0.02	0.01
29433	B9.5V	-0.03	0.01
29440	A0V:	-0.02	0.00
29469	A0V	-0.01	0.00
29486	G5V:	-0.24	0.06
29488	B5II/III	-0.01	0.00
29514	K5III:	-0.14	0.03
29525	G8V	-0.08	0.01
29548	M0V:	-0.19	0.02
29562	K0III:	-0.06	0.02
29569	K1III	-0.06	0.01
29571	A0V:	-0.01	0.00
29583	F5V	-0.11	0.02
29584	K7III:	-0.15	0.04
29618	K0III:	-0.11	0.01
29628	K2III:	-0.11	0.02
29632	B9V:	-0.05	0.01
29650	F6V	-0.04	0.00
29676	B9V:	-0.03	0.01
29692	K1III	-0.05	0.00
29693	G8III	-0.08	0.02
29700	A2V:	-0.10	0.02
29707	M2III:	-0.17	0.03
29723	G5V:	-0.29	0.01
29750	G8III	-0.05	0.01
29752	K3III-IV	-0.07	0.02
29767	K0III:	-0.15	0.01
29774	K0III:	-0.11	0.03
29789	G8III	-0.03	0.00
29797	K5III:	-0.24	0.04
29800	F5IV-V	-0.01	0.00
29814	K0V:	-0.04	0.01
29827	F0V:	-0.04	0.01
29831	G5V:	-0.03	0.00
29842	K2III	-0.07	0.00
29868	G5V:	-0.21	0.02
29869	A2V:	-0.02	0.00
29871	K2III:	-0.21	0.01
29879	K0III:	-0.09	0.02
29884	F0V	-0.04	0.00
29889	K1III	-0.10	0.02
29909	A0V	-0.03	0.01
29910	G5V:	-0.32	0.03
29925	K2III:	-0.15	0.02
29931	A3V	-0.05	0.00
29949	K2III	-0.08	0.01
29967	G0V:	-0.15	0.04
29980	G0V	-0.07	0.02
29982	K0III:	-0.16	0.00
29990	G2Ib	-0.04	0.00
30000	F8V:	-0.07	0.02
30002	K0III:	-0.06	0.02
30004	B8III/IV	-0.04	0.00
30019	B9III	-0.03	0.00
30024	A0III	-0.08	0.01
30035	F5V:	-0.30	0.03
30048	K1III	-0.04	0.01
30060	A2V	-0.02	0.00
30064	G8III/IV	-0.02	0.01
30069	B9V	-0.01	0.00
30107	K0III:	-0.07	0.01
30161	K0III:	-0.12	0.02
30221	K5III:	-0.19	0.02
30240	A0V:	-0.06	0.00
30269	G0III:	-0.11	0.01
30326	M5-M8III:	-0.95	0.25
30343	M3III	-0.03	0.01
30344	K0/K1V	-0.17	0.02
30357	K1III	-0.03	0.01
30359	F5V:	-0.18	0.04
30371	G8V:	-0.22	0.04
30376	G8III	-0.04	0.00
30403	K0III:	-0.09	0.02
30440	M5III	-0.34	0.03
30444	K1II/III	-0.08	0.01
30457	K3III	-0.06	0.00
30460	A0III	-0.07	0.02
30461	K0/K1III	-0.12	0.04
30464	A0III	-0.02	0.00
30469	A9V	-0.07	0.01
30480	G3III/IV	-0.11	0.00
30541	K1Iab	-0.45	0.02
30554	K0III	-0.09	0.03
30561	G2III	-0.05	0.02
30570	A2V	-0.03	0.01
30573	G0V:	-0.10	0.02
30579	K0V	-0.09	0.02
30582	K2III	-0.06	0.02
30594	A0V	-0.01	0.00
30612	K5III:	-0.35	0.03
30664	K0III	-0.11	0.01
30667	A0V:	-0.06	0.01
30703	K3III	-0.01	0.00
30720	K5III	-0.07	0.01
30736	K0III	-0.13	0.02
30748	F5III:	-0.01	0.00
30762	A0V	-0.02	0.01
30773	F0V:	-0.01	0.00
30775	M4III	-0.20	0.03
30777	G0III:	-0.08	0.01
30786	A0IV/V	-0.02	0.01
30789	B9V:	-0.07	0.01
30794	A4V	-0.01	0.00
30804	K2III-IV	-0.05	0.00
30832	A0V:	-0.05	0.02
30838	F8V:	-0.03	0.00
30905	K5V:	-0.30	0.02
30906	M1III:	-0.05	0.01
30935	K2III:	-0.06	0.01
30945	M5III-IV	-0.52	0.05
30948	K2III:	-0.20	0.00
30956	G3III:	-0.04	0.01
30999	K2III	-0.05	0.02
31003	K0III	-0.04	0.01
31018	F8V:	-0.09	0.02
31021	G3V	-0.06	0.02
31057	M6II/III	-0.56	0.01
31072	G8III	-0.12	0.01
31086	M4III	-0.05	0.01
31096	K0III:	-0.09	0.01
31142	M0V:	-0.16	0.02
31143	K8V:	-0.31	0.02
31156	G8V:	-0.34	0.00
31167	F0V	-0.04	0.00
31208	K0III:	-0.09	0.02
31222	G0V:	-0.07	0.02
31243	F3IV/V	-0.05	0.02
31255	M5III:	-0.11	0.02
31266	K0III	-0.21	0.01
31277	K2III:	-0.09	0.00
31281	K2III:	-0.14	0.04
31290	A3V	-0.03	0.01
31296	M6III	-0.63	0.02
31330	K0/K1III	-0.14	0.04
31338	B8V:	-0.03	0.00
31340	K0III:	-0.05	0.01
31352	K5III:	-0.25	0.02
31362	B9V	-0.02	0.01
31363	M0III	-0.08	0.02
31380	K5V:	-0.22	0.02
31403	B9V:	-0.06	0.02
31416	A0III	-0.04	0.00
31458	G0V:	-0.07	0.02
31484	M4:III	-0.34	0.02
31527	F8V:	-0.05	0.02
31560	F3IV-V	-0.05	0.01
31595	A0V:	-0.09	0.01
31628	K2III:	-0.08	0.02
31648	K0V:	-0.02	0.00
31665	A2V	-0.04	0.00
31669	B9V:	-0.05	0.01
31672	K1III	-0.03	0.00
31674	K1III:	-0.11	0.00
31678	M5II/III	-0.39	0.02
31708	F8V:	-0.19	0.05
31719	M5III:	-0.34	0.02
31723	F5V:	-0.05	0.01
31755	F0V:	-0.05	0.00
31761	K0V:	-0.12	0.02
31771	K5III	-0.08	0.01
31792	A0V:	-0.06	0.01
31819	K5III:	-0.34	0.04
31828	K0III:	-0.24	0.02
31832	K3III	-0.05	0.01
31859	A0V	-0.01	0.00
31878	M1V	-0.19	0.02
31883	K2III:	-0.29	0.06
31898	K1III	-0.09	0.02
31913	G5V:	-0.26	0.05
31925	M3III	-0.04	0.01
31941	G0V:	-0.16	0.04
31945	B8III	-0.05	0.01
31951	B9V:	-0.02	0.01
32020	A1V	-0.03	0.01
32040	F8III	-0.06	0.01
32043	K5V:	-0.17	0.01
32045	K5III:	-0.40	0.02
32047	K2III	-0.06	0.02
32049	F0V:	-0.05	0.00
32064	M0III	-0.05	0.00
32115	M1III:	-0.18	0.06
32139	K2III:	-0.07	0.02
32144	F2V	-0.03	0.00
32170	A2V:	-0.17	0.03
32192	K1III	-0.06	0.02
32194	G0V:	-0.10	0.03
32210	K5III:	-0.11	0.03
32275	M4III	-0.12	0.02
32286	A0V:	-0.05	0.01
32324	F0V:	-0.10	0.00
32405	F8V:	-0.09	0.02
32465	K0III:	-0.09	0.02
32488	F5V:	-0.03	0.00
32489	K0III	-0.07	0.01
32504	B7II/III	-0.04	0.00
32507	M4/M5III	-0.20	0.05
32511	K0III	-0.07	0.02
32512	M5-M8III:	-0.98	0.25
32514	B9V:	-0.05	0.01
32520	M4III:	-0.15	0.04
32522	F5V:	-0.07	0.02
32530	M0V:	-0.09	0.01
32550	K0III	-0.04	0.01
32553	K0/K1III	-0.18	0.04
32555	K0III:	-0.12	0.01
32611	K0III	-0.08	0.01
32612	A0III:	-0.05	0.01
32617	F1V	-0.03	0.00
32655	F8V:	-0.12	0.04
32659	K0III:	-0.13	0.01
32660	G0III:	-0.12	0.02
32666	G5V	-1.00	0.02
32680	K5III:	-0.25	0.04
32708	K0III	-0.06	0.01
32725	G0V:	-0.07	0.02
32729	A6V	-0.12	0.01
32734	K2/K3III	-0.22	0.05
32752	G0V:	-0.06	0.02
32769	M0V:	-0.19	0.01
32775	F7III-IV	-0.07	0.01
32786	B5Iab/Ib	-0.03	0.00
32813	K0III	-0.03	0.01
32817	G0V:	-0.06	0.01
32818	G0V:	-0.09	0.02
32838	A2V:	-0.04	0.01
32844	K3III	-0.03	0.01
32873	F8V:	-0.21	0.03
32883	K2III	-0.05	0.02
32906	G5V:	-0.19	0.02
32921	A2V	-0.07	0.00
32926	K5III:	-0.09	0.01
32939	M0V	-0.31	0.02
32948	K3III	-0.11	0.01
32958	B9V:	-0.02	0.00
32961	K0III	-0.05	0.01
32965	A4V:	-0.08	0.02
32989	K5III:	-0.21	0.02
32990	K0III:	-0.05	0.01
33006	F5II/III	-0.03	0.00
33010	K5III:	-0.40	0.03
33024	F0V	-0.03	0.00
33026	A2V:	-0.12	0.03
33040	M6III	-0.52	0.01
33058	A0V:	-0.04	0.01
33061	G6III	-0.07	0.02
33082	K0III	-0.07	0.01
33093	K2III	-0.07	0.02
33097	K0III:	-0.10	0.02
33101	A0V:	-0.06	0.00
33121	G0V:	-0.11	0.02
33132	K0/K1III	-0.12	0.04
33145	F0V:	-0.07	0.02
33156	F8V:	-0.06	0.01
33192	A0V:	-0.06	0.01
33225	K0III:	-0.12	0.02
33230	K2III:	-0.23	0.02
33241	M1V:	-0.19	0.01
33242	K0III:	-0.12	0.01
33260	B9Ib/II	-0.14	0.02
33271	K0III-IV	-0.09	0.01
33291	K0III:	-0.09	0.01
33306	K2III	-0.06	0.01
33397	K0III:	-0.11	0.03
33419	K0III	-0.08	0.01
33428	M0V:	-0.04	0.01
33485	A2V	-0.02	0.00
33488	G2/G3V	-0.08	0.02
33501	F8III:	-0.12	0.02
33514	K1III	-0.14	0.02
33533	K0III	-0.16	0.01
33537	G5V	-0.06	0.02
33565	K3V:	-0.05	0.02
33588	K2III	-0.04	0.01
33637	K2III:	-0.09	0.03
33639	M0II/III	-0.08	0.03
33648	F8V:	-0.12	0.02
33650	B8III	-0.02	0.01
33719	G0III-IV	-0.08	0.00
33729	B9III	-0.02	0.00
33730	K5III:	-0.15	0.01
33731	B8V:	-0.02	0.01
33742	K5III:	-0.28	0.05
33756	M6III:	-0.66	0.11
33757	A0V:	-0.07	0.02
33783	F8V:	-0.09	0.03
33799	G1V	-0.07	0.01
33822	M2III:	-0.22	0.04
33827	K4III	-0.04	0.00
33848	K2V	-0.05	0.01
33854	A3V	-0.03	0.01
33861	A0V:	-0.05	0.01
33891	M1Ib	-0.11	0.02
33897	K1III	-0.21	0.02
33908	K0III:	-0.07	0.01
33909	A0V	-0.02	0.00
33929	M1.5III:	-0.08	0.01
33935	A0V	-0.13	0.02
33955	K5V	-0.07	0.01
33957	A2III	-0.03	0.00
34001	K5III:	-0.17	0.04
34017	G4V	-0.07	0.01
34018	K5III:	-0.44	0.04
34028	K0/K1III	-0.29	0.04
34068	K0III:	-0.15	0.01
34082	G5V:	-0.04	0.01
34104	M5V:	-0.10	0.02
34105	A0:V:	-0.01	0.00
34115	M5V:	-0.11	0.02
34122	M3III:	-0.19	0.05
34126	M5III	-0.30	0.03
34128	K0III:	-0.11	0.02
34129	K5III:	-0.26	0.03
34148	K2III:	-0.12	0.03
34151	K0III:	-0.13	0.03
34155	K1III	-0.09	0.02
34173	K0III:	-0.10	0.02
34186	K0III/IV	-0.06	0.02
34215	M0III	-0.06	0.01
34222	M0V	-0.06	0.01
34228	F5V:	-0.05	0.02
34241	K0III	-0.03	0.01
34266	K8III	-0.08	0.01
34283	B9V:	-0.07	0.01
34285	F8V:	-0.03	0.00
34297	B7Iab	-0.08	0.01
34310	M7III	-0.83	0.03
34327	G5V:	-0.24	0.04
34333	F0V:	-0.06	0.02
34338	B9.5III	-0.10	0.01
34341	M0V	-0.13	0.01
34349	K0III	-0.03	0.00
34361	M2V:	-0.05	0.01
34410	G0V	-0.07	0.00
34469	G3V	-0.05	0.02
34528	B8/B9III	-0.09	0.02
34544	K0III	-0.06	0.02
34548	G0V:	-0.12	0.02
34550	F0V:	-0.06	0.02
34559	F0V:	-0.06	0.02
34580	G8III	-0.04	0.01
34581	K2III:	-0.10	0.02
34594	A0V:	-0.04	0.01
34606	B9V:	-0.01	0.00
34618	K1III	-0.14	0.02
34622	K0III	-0.01	0.00
34625	F8V:	-0.05	0.02
34648	K5III:	-0.15	0.04
34662	F5V:	-0.09	0.02
34668	F8V:	-0.11	0.03
34674	K1III	-0.13	0.02
34675	K0III	-0.09	0.02
34678	F5V:	-0.09	0.03
34684	F5V:	-0.08	0.02
34706	K0III	-0.03	0.01
34724	F2V	-0.04	0.01
34758	A0IV/V	-0.02	0.00
34768	A1V	-0.03	0.01
34769	A2V	-0.06	0.01
34776	K0III	-0.06	0.01
34785	M0V:	-0.07	0.01
34815	K2III:	-0.07	0.02
34828	K0III:	-0.12	0.01
34864	K0III:	-0.07	0.01
34870	A0V:	-0.07	0.02
34872	B8II/III	-0.03	0.00
34875	K1/K2III:	-0.17	0.05
34922	M5III:	-0.47	0.04
34923	G0III:	-0.16	0.02
34927	F0V:	-0.02	0.00
34942	K0III:	-0.03	0.01
34972	F8V:	-0.24	0.04
34977	G0V:	-0.10	0.03
34978	A0V:	-0.06	0.01
35003	K0III	-0.08	0.01
35008	A0V:	-0.07	0.01
35016	K1III	-0.08	0.01
35025	M1III	-0.03	0.01
35029	A0V:	-0.09	0.00
35040	B9III	-0.02	0.01
35041	K2III:	-0.10	0.02
35044	K3III	-0.07	0.00
35045	M5III:	-0.35	0.01
35055	K2III:	-0.23	0.03
35062	A2III:	-0.17	0.01
35073	G5V:	-0.09	0.02
35077	A0V:	-0.08	0.01
35081	K2II/III	-0.05	0.02
35087	K5III:	-0.15	0.04
35091	K3V	-0.05	0.00
35096	G2V	-0.03	0.01
35105	K0III:	-0.08	0.01
35108	K2III	-0.13	0.03
35120	M4III	-0.17	0.01
35122	K2V:	-0.27	0.03
35126	B9V:	-0.04	0.00
35139	G5V	-0.07	0.00
35146	K2III	-0.12	0.00
35148	G1V	-0.02	0.00
35238	K1III	-0.12	0.02
35274	K8V:	-0.13	0.02
35282	K0III:	-0.05	0.02
35294	K2III	-0.10	0.03
35306	B9V:	-0.07	0.01
35317	K0III:	-0.04	0.01
35333	K1III	-0.11	0.02
35347	B8II/III	-0.03	0.01
35361	G5V	-0.06	0.02
35384	A4III	-0.05	0.01
35387	G2V	-0.11	0.02
35406	A0V	-0.15	0.01
35431	K0III:	-0.11	0.01
35444	K1III	-0.03	0.01
35464	M4III	-0.27	0.02
35489	G8V	-0.13	0.03
35495	M2:V:	-0.07	0.01
35533	F0V:	-0.05	0.00
35548	A2V	-0.04	0.00
35569	K7III:	-0.37	0.05
35572	G5V:	-0.06	0.01
35588	F3/F5V	-0.43	0.03
35599	G5V:	-0.07	0.01
35626	M3III	-0.04	0.01
35629	K5III:	-0.23	0.04
35670	K1III	-0.06	0.02
35672	G5V:	-0.24	0.06
35686	K5III:	-0.33	0.04
35687	F0V:	-0.05	0.02
35699	M0III	-0.04	0.00
35706	K8V:	-0.18	0.02
35716	A0III	-0.05	0.00
35718	K0V:	-0.04	0.01
35729	G5V:	-0.23	0.02
35744	F5V:	-0.10	0.01
35746	M4III	-0.10	0.02
35764	K1III	-0.12	0.02
35778	K0III	-0.04	0.01
35806	K0III	-0.06	0.01
35809	K1III	-0.03	0.01
35814	K2III:	-0.24	0.01
35815	G0V:	-0.21	0.01
35821	M2V:	-0.05	0.01
35833	K0III	-0.06	0.01
35838	A0V:	-0.04	0.01
35843	K5III:	-0.25	0.04
35846	G8III	-0.03	0.00
35856	K1III	-0.04	0.01
35874	K0III:	-0.04	0.01
35900	K5V:	-0.20	0.01
35943	M0V:	-0.03	0.01
35949	G5III:	-0.39	0.02
35971	G8III	-0.10	0.03
35980	K2III:	-0.05	0.02
35982	F0V:	-0.05	0.02
36005	F8V:	-0.11	0.03
36019	A0III	-0.03	0.01
36078	A0V	-0.07	0.01
36091	K0III:	-0.10	0.01
36145	A1V	-0.02	0.00
36150	K0III:	-0.09	0.02
36160	G5V	-0.05	0.01
36161	A2V:	-0.06	0.02
36172	F8V:	-0.15	0.02
36180	M0V:	-0.21	0.01
36189	K0III:	-0.13	0.01
36248	G0V:	-0.12	0.02
36261	K5III:	-0.15	0.03
36265	F0III	-0.05	0.01
36288	M5Ib-II	-0.34	0.01
36314	M4-M6III:	-0.80	0.14
36326	F8V:	-0.07	0.01
36334	M3III:	-0.18	0.01
36344	G5V:	-0.19	0.05
36347	M0V:	-0.26	0.00
36399	F8V	-0.03	0.01
36409	M4/M5III	-0.32	0.05
36429	K2III	-0.08	0.00
36444	K0III	-0.02	0.00
36446	G0V:	-0.09	0.02
36463	G0V:	-0.08	0.01
36476	F8V:	-0.14	0.04
36512	G5V	-0.04	0.01
36524	K5III:	-0.17	0.04
36528	K2III	-0.10	0.00
36542	K5III:	-0.37	0.04
36545	M2III:	-0.06	0.02
36551	K5V:	-0.04	0.00
36571	F8V:	-0.12	0.02
36572	K0III:	-0.09	0.01
36581	F8III:	-0.46	0.02
36592	G2V	-0.07	0.02
36601	K0III:	-0.13	0.04
36605	B9III	-0.10	0.01
36616	K2III	-0.07	0.01
36626	M3.5V	-0.13	0.01
36641	F0III	-0.04	0.00
36671	K7III:	-0.41	0.04
36697	K5III:	-0.24	0.05
36723	F2V	-0.03	0.01
36729	G8III	-0.01	0.00
36743	K0III:	-0.09	0.02
36749	K0V:	-0.52	0.05
36754	K0III:	-0.06	0.01
36759	G3/G5V	-0.29	0.04
36782	K1III	-0.22	0.02
36787	K2III	-0.07	0.00
36802	M3/M4III	-0.11	0.03
36814	K5III:	-0.29	0.03
36818	G8V-VI	-0.13	0.02
36836	F7II/III	-0.04	0.01
36848	K1III	-0.06	0.01
36875	A0V	-0.01	0.00
36892	K1III	-0.16	0.01
36933	B9V:	-0.03	0.01
36945	M5III:	-0.48	0.03
36969	A0V:	-0.11	0.00
36976	G5V:	-0.12	0.00
36983	M4III:	-0.15	0.01
36992	K2III	-0.17	0.01
37020	F5V:	-0.21	0.05
37027	K0III:	-0.12	0.04
37046	K2III	-0.07	0.01
37065	K0III	-0.05	0.01
37069	K1III	-0.03	0.01
37071	F0V:	-0.05	0.02
37088	F6III	-0.05	0.00
37108	B9V:	-0.03	0.00
37118	K7III:	-0.38	0.04
37138	B9V:	-0.04	0.01
37160	K2III:	-0.14	0.04
37177	M0V:	-0.07	0.02
37182	K5V:	-0.29	0.02
37204	K0III	-0.11	0.01
37211	K7V:	-0.15	0.02
37248	B9IV-V	-0.05	0.00
37255	G2V:	-0.12	0.03
37269	A2V	-0.02	0.01
37284	K4V	-0.06	0.02
37287	K0III:	-0.07	0.01
37299	G5V:	-0.68	0.02
37301	G0V:	-0.12	0.04
37314	G2/G3V	-0.15	0.03
37342	K0III	-0.09	0.01
37355	K0III:	-0.08	0.01
37360	G2V	-0.05	0.00
37361	K0III	-0.13	0.02
37365	A0V:	-0.02	0.01
37388	A0V	-0.13	0.01
37419	G5V	-0.05	0.00
37438	M6-M7III:	-0.90	0.09
37441	K0III	-0.02	0.00
37452	K2III	-0.10	0.02
37459	M4III:	-0.44	0.13
37488	K8V:	-0.20	0.02
37501	K0III:	-0.04	0.01
37510	G8V:	-0.04	0.01
37528	M0V:	-0.15	0.02
37570	K2III:	-0.10	0.03
37583	K5III:	-0.45	0.02
37590	K1III	-0.12	0.00
37602	F5V:	-0.09	0.03
37620	F8V:	-0.07	0.00
37635	G0V	-0.03	0.01
37636	K0III	-0.10	0.02
37660	A3III	-0.05	0.00
37684	A0III	-0.03	0.00
37692	B9III	-0.06	0.01
37695	M4III	-0.19	0.02
37705	F0III	-0.06	0.01
37724	K0III	-0.05	0.02
37762	K7III:	-0.30	0.03
37798	M0V:	-0.05	0.01
37815	K5III:	-0.23	0.02
37826	K0III	-0.04	0.01
37841	K0III	-0.04	0.01
37843	A6/A7V:	-0.09	0.02
37901	K5III	-0.07	0.00
37902	K5III:	-0.16	0.03
37934	F0V:	-0.04	0.00
37946	M3III	-0.06	0.01
37959	K0III:	-0.06	0.02
37988	K0III:	-0.04	0.01
37996	K1III	-0.03	0.01
38002	F2V:	-0.13	0.04
38033	G0V:	-0.06	0.01
38043	B9V:	-0.01	0.00
38054	K0III:	-0.11	0.03
38094	K0III:	-0.07	0.02
38096	M0III:	-0.33	0.03
38111	K0III	-0.09	0.02
38134	G2V	-0.08	0.01
38163	K0III:	-0.11	0.01
38168	K5III:	-0.36	0.04
38175	M0III:	-0.42	0.03
38179	G5V	-0.01	0.00
38183	K0III	-0.07	0.00
38196	K0III:	-0.05	0.01
38223	G0V:	-0.10	0.03
38267	K2III	-0.11	0.00
38277	G0V:	-0.09	0.02
38287	F0V:	-0.08	0.02
38295	F5V:	-0.08	0.02
38296	F8V:	-0.11	0.02
38345	G3III	-0.89	0.01
38362	G5III:	-0.08	0.02
38363	G8III	-0.07	0.01
38366	A2V:	-0.12	0.01
38375	K0III	-0.07	0.01
38385	K1III	-0.07	0.01
38397	F5V:	-0.05	0.02
38406	M5III:	-0.34	0.02
38459	K1III	-0.12	0.02
38501	K7III:	-0.16	0.03
38543	K0III	-0.28	0.02
38559	G0V:	-0.15	0.01
38568	K0III/IV	-0.07	0.01
38575	K2V:	-0.99	0.16
38580	M5/M6III	-0.52	0.06
38590	K0III:	-0.08	0.02
38603	K2III:	-0.16	0.03
38616	G0V:	-0.13	0.03
38618	K1III	-0.04	0.01
38623	K2III:	-0.06	0.01
38651	F2V	-0.09	0.02
38669	K0III:	-0.04	0.01
38676	F0V:	-0.08	0.00
38717	F2V:	-0.11	0.03
38722	A0V	-0.02	0.00
38731	G0V:	-0.25	0.02
38735	F0V:	-0.11	0.02
38752	K0III:	-0.05	0.02
38757	K2III:	-0.08	0.02
38769	G5V:	-0.16	0.02
38782	G5V	-0.02	0.00
38784	G8V	-0.02	0.01
38792	M5/M6III	-0.39	0.06
38805	A0V:	-0.09	0.00
38811	F5V:	-0.05	0.01
38822	G0V:	-0.01	0.00
38825	K0III:	-0.08	0.02
38832	K1III	-0.11	0.02
38844	K1III	-0.04	0.01
38868	K0III	-0.03	0.00
38875	K0III:	-0.07	0.02
38878	A0V:	-0.05	0.01
38883	K0III:	-0.09	0.02
38888	F8III:	-0.11	0.02
38901	A7III	-0.04	0.01
38908	G2V	-0.06	0.01
38925	K0III	-0.05	0.01
38931	K5V	-0.08	0.02
38938	G8III	-0.19	0.04
38962	K0III	-0.10	0.01
38965	K5III:	-0.15	0.02
38969	M0V:	-0.28	0.02
38973	A0V:	-0.08	0.00
38997	K2III	-0.17	0.04
39026	G1V	-0.05	0.02
39042	G2III	-0.38	0.02
39071	G5:V:	-0.08	0.02
39087	K5III:	-0.25	0.02
39088	K2V	-0.08	0.00
39102	G2V	-0.05	0.01
39103	G5V:	-0.11	0.02
39115	K0III	-0.05	0.01
39133	F5V:	-0.09	0.03
39153	A0V:	-0.07	0.00
39157	G8V	-0.02	0.01
39160	F8V:	-0.06	0.02
39167	F5V:	-0.10	0.02
39173	G8III	-0.05	0.01
39174	K0III	-0.08	0.02
39175	G2III	-0.17	0.05
39179	G5V:	-0.09	0.02
39226	G0V:	-0.09	0.03
39299	M3III	-0.05	0.01
39312	F0V:	-0.07	0.02
39323	K5III:	-0.36	0.02
39330	G5V	-0.03	0.01
39361	K0V:	-0.12	0.02
39389	G8III/IV	-0.05	0.01
39392	M0V:	-0.30	0.02
39419	K5III:	-0.29	0.01
39424	K2III	-0.07	0.01
39432	K0III:	-0.22	0.02
39433	M5III	-0.37	0.01
39456	K5III:	-0.11	0.03
39458	B9III:	-0.01	0.00
39477	K0III:	-0.07	0.01
39494	M0V:	-0.13	0.02
39521	M4III	-0.14	0.01
39538	A0V:	-0.02	0.00
39553	G5V:	-0.07	0.02
39554	K0III:	-0.17	0.03
39559	G8III	-0.16	0.01
39572	F5V:	-0.04	0.01
39574	A9V	-0.04	0.01
39612	M0V:	-0.09	0.01
39645	F8V:	-0.09	0.02
39662	K2III	-0.06	0.01
39665	K3III	-0.11	0.02
39684	K0III	-0.05	0.01
39710	G2V	-0.03	0.00
39716	A0V	-0.05	0.01
39722	A1V	-0.04	0.00
39738	K1III	-0.15	0.01
39752	K5III:	-0.10	0.01
39755	M5III:	-0.33	0.05
39787	M3III:	-1.27	0.01
39798	K0III	-0.10	0.02
39806	K0III:	-0.04	0.01
39812	G0V:	-0.15	0.02
39822	G2V	-0.01	0.00
39854	G5III:	-0.04	0.01
39873	A0III	-0.10	0.01
39881	F5V:	-0.17	0.04
39885	M5III	-0.29	0.09
39905	K2III:	-0.11	0.02
39907	K1III	-0.18	0.01
39911	G3V	-0.05	0.00
39919	B8Ib/II	-0.07	0.00
39920	G8III	-0.04	0.00
39924	F8V:	-0.19	0.05
39934	F5V:	-0.14	0.03
39938	K3III:	-0.03	0.01
39940	G0V:	-0.08	0.02
39959	K2III:	-0.09	0.02
39967	M7-M9III:	-0.92	0.04
39986	F0V:	-0.05	0.01
39990	M2III:	-0.12	0.02
40003	K1II/III	-0.07	0.01
40039	K0V:	-0.12	0.00
40065	F0V:	-0.09	0.02
40072	K2V	-0.05	0.00
40084	K0III	-0.09	0.00
40094	F8V:	-0.11	0.02
40097	G5III:	-0.17	0.02
40107	G8III	-0.04	0.01
40112	K1III/IV	-0.09	0.02
40122	G3V	-0.22	0.02
40125	K5III:	-0.10	0.03
40144	M5/M6III:	-0.33	0.06
40151	K2III:	-0.31	0.02
40174	G3V	-0.03	0.00
40177	A7III	-0.04	0.00
40180	K0III:	-0.10	0.02
40187	K2III:	-0.18	0.02
40193	K2III:	-0.08	0.02
40221	K0III:	-0.13	0.00
40234	K5III:	-0.41	0.04
40256	G5V:	-0.26	0.03
40263	K0III:	-0.11	0.01
40264	M4II/III	-0.13	0.02
40269	M0V:	-0.19	0.01
40283	G2V	-0.01	0.00
40291	K2III	-0.06	0.00
40307	G8/K0III	-0.19	0.05
40313	K3V	-0.06	0.02
40330	F2V:	-0.17	0.02
40338	K0V:	-0.08	0.02
40344	K1III	-0.08	0.00
40378	K0III	-0.11	0.01
40388	M8III:	-0.96	0.04
40402	G0V:	-0.10	0.02
40418	G5V:	-0.13	0.04
40426	A3III:	-0.17	0.02
40438	G1V	-0.03	0.01
40465	K5V	-0.18	0.04
40470	K0III:	-0.15	0.02
40479	G0V:	-0.05	0.02
40484	K0III:	-0.07	0.02
40491	G5V:	-0.23	0.04
40493	F8V:	-0.05	0.02
40513	K5III:	-0.04	0.01
40531	F5V:	-0.14	0.02
40571	F8V:	-0.10	0.02
40597	G0III:	-0.02	0.00
40625	K0III	-0.06	0.01
40631	F5V:	-0.12	0.03
40635	K2III:	-0.05	0.02
40636	K0III	-0.04	0.01
40639	M0III	-0.12	0.01
40655	F5V	-0.04	0.01
40683	K0III:	-0.06	0.02
40691	B8V:	-0.04	0.01
40692	K0III:	-0.09	0.01
40693	K0V	-0.06	0.01
40694	F0V:	-0.06	0.02
40710	K7III:	-0.40	0.05
40715	A3V:	-0.02	0.00
40754	A0V:	-0.02	0.00
40766	F3III	-0.04	0.00
40767	K1III	-0.06	0.02
