hip	spect	ext	sigma_ext
2219	M3III	-0.06	0.01
2225	A2V	-0.01	0.00
2267	G8III-IV	-0.03	0.01
2273	K1III	-0.24	0.00
2279	K1III	-0.07	0.02
2307	K0III:	-0.09	0.01
2308	K0III:	-0.06	0.02
2310	K8III:	-0.47	0.02
2312	K5III:	-0.14	0.01
2313	G0V:	-0.08	0.02
2320	K2III	-0.14	0.01
2342	K1III	-0.08	0.02
2352	K0V:	-0.19	0.00
2356	G5III:	-0.31	0.03
2363	K1III	-0.09	0.03
2364	K8V:	-0.24	0.02
2368	G3V	-0.04	0.01
2388	F2III	-0.02	0.00
2391	M3V:	-0.13	0.02
2396	K5III:	-0.16	0.04
2397	K5V:	-0.22	0.02
2413	G5III	-0.09	0.01
2421	K1III	-0.14	0.02
2423	F8V:	-0.04	0.01
2452	K0V	-0.01	0.00
2458	M0V:	-0.06	0.02
2497	K2III	-0.03	0.00
2498	K0III:	-0.12	0.01
2508	K0III:	-0.07	0.02
2520	K1III	-0.06	0.02
2531	K2III:	-0.11	0.01
2540	M0V:	-0.03	0.00
2551	K0III	-0.07	0.02
2553	A1V	-0.02	0.00
2571	K7III:	-0.26	0.02
2586	G5V	-0.01	0.00
2596	M8III:	-1.06	0.13
2604	M0V:	-0.09	0.02
2609	G0V:	-0.11	0.04
2640	F8V:	-0.13	0.04
2684	K4III	-0.08	0.01
2685	M3III	-0.12	0.02
2699	F8V:	-0.11	0.02
2706	K0III:	-0.10	0.02
2729	K5V	-0.10	0.02
2743	K3V	-0.13	0.01
2747	G3V	-0.05	0.01
2752	K0III:	-0.06	0.02
2776	K7III:	-0.37	0.02
2781	F0V:	-0.10	0.01
2790	G8V	-0.01	0.00
2802	F6V	-0.01	0.00
2856	K2III	-0.11	0.01
2885	G0V:	-0.10	0.02
2892	K0III	-0.15	0.02
2899	M5III:	-0.49	0.03
2909	G8/K0V	-0.14	0.04
2918	F8V:	-0.06	0.02
2919	G0V:	-0.03	0.00
2929	M7III:	-0.44	0.02
2937	K0II/III	-0.04	0.00
2944	G8V	-0.02	0.00
2953	K0III:	-0.06	0.00
2960	M6III	-0.64	0.02
2962	K9III:	-0.16	0.02
2978	F0V:	-0.07	0.02
2995	F0III:	-0.05	0.02
3015	G0V:	-0.13	0.02
3050	G8/K0III/IV	-0.53	0.05
3063	K0III	-0.10	0.01
3098	K0III:	-0.07	0.02
3106	F8V:	-0.06	0.02
3114	K5III	-0.19	0.00
3121	K5:V:	-0.01	0.00
3128	K0III:	-0.09	0.02
3129	M8III:	-0.88	0.06
3141	K0III:	-0.11	0.02
3143	M4V:	-0.11	0.01
3153	K0III:	-0.07	0.01
3175	G8III	-0.02	0.00
3188	K0III	-0.03	0.00
3192	K5III:	-0.30	0.02
3211	G8III/IV	-0.10	0.02
3216	K0III:	-0.12	0.03
3225	K1III	-0.06	0.01
3231	G8III	-0.04	0.00
3256	M2V:	-0.13	0.02
3288	G8II/III	-0.56	0.01
3325	K0III:	-0.09	0.02
3329	K0III:	-0.14	0.01
3352	K5III	-0.13	0.01
3360	K2II-III	-0.12	0.01
3375	G3V	-0.27	0.04
3381	B8V:	-0.13	0.00
3389	K0III:	-0.14	0.02
3395	K0III	-0.04	0.01
3406	K0V:	-0.12	0.00
3418	K8V:	-0.19	0.02
3428	M0V:	-0.08	0.02
3429	F8V:	-0.08	0.02
3435	K0III:	-0.30	0.03
3436	K1III	-0.00	0.00
3440	K7III:	-0.11	0.03
3445	K0III:	-0.11	0.01
3477	F8V:	-0.18	0.01
3479	G5V	-0.02	0.00
3480	G3IV/V	-0.02	0.01
3495	F8V:	-0.10	0.03
3509	F8V:	-0.03	0.01
3531	K7V:	-0.07	0.01
3544	A2V	-0.03	0.00
3549	K2III:	-0.14	0.03
3556	M3V:	-0.06	0.02
3559	G2V	-0.03	0.01
3587	G0V:	-0.03	0.01
3596	K0III	-0.05	0.00
3603	G5V	-0.04	0.00
3604	B9.5/MIII	-0.03	0.01
3605	G3V	-0.02	0.01
3609	K5III:	-0.22	0.05
3617	K1III	-0.14	0.00
3620	K3III	-0.17	0.00
3630	K0III:	-0.10	0.03
3632	M4III	-0.15	0.01
3655	K0III:	-0.12	0.02
3662	G5III:	-0.12	0.01
3684	A0V:	-0.04	0.01
3708	M1III	-0.05	0.02
3718	G0V:	-0.05	0.01
3720	K2III	-0.14	0.02
3761	K5III:	-0.24	0.04
3771	A2V:	-0.07	0.01
3775	G8III	-0.03	0.00
3783	M0III:	-0.47	0.02
3796	K0III:	-0.06	0.01
3801	B9III	-0.03	0.00
3807	G8III	-0.03	0.00
3810	F8V	-0.02	0.00
3811	K0III	-0.06	0.01
3813	M2V:	-0.06	0.02
3825	K0/K1III	-0.16	0.04
3831	G5V:	-0.15	0.02
3834	K0III	-0.09	0.02
3863	G5III:	-0.18	0.02
3894	M4III	-0.15	0.01
3906	K1III	-0.07	0.02
3915	G0V:	-0.01	0.00
3916	K2III:	-0.22	0.06
3956	G5V:	-0.06	0.02
3968	K5III:	-0.38	0.04
3991	G0V:	-0.21	0.03
3999	G1V	-0.01	0.00
4003	K2III:	-0.24	0.01
4008	M6.5III:	-0.67	0.05
4012	M2V:	-0.13	0.02
4033	K1III	-0.06	0.01
4050	K1III	-0.02	0.01
4079	K0III	-0.05	0.00
4107	K2III:	-0.06	0.02
4152	F5V:	-0.07	0.01
4180	K0III:	-0.21	0.03
4184	K0III:	-0.07	0.02
4185	K3III:	-0.15	0.00
4195	G5V	-0.04	0.01
4197	K0III	-0.16	0.01
4200	M4III	-0.14	0.00
4201	F8V	-0.02	0.00
4220	K1III	-0.08	0.01
4221	K0III:	-0.08	0.03
