n_side = 18
¹	l			b			n	k		mad_k	k(mnk)	sigma_k	ave		sigma_ave
0	0,785398	1,525432	25	-0,01	0,44	0,17	0,03	0,03	0,09
1	2,356194	1,525432	26	0,13	0,23	0,07	0,02	0,03	0,06
2	3,926991	1,525432	26	0,05	0,22	0,04	0,01	0,01	0,07
3	5,497787	1,525432	25	0,10	0,27	0,00	0,02	0,01	0,11
4	0,392699	1,480043	23	0,15	0,45	0,06	0,07	0,05	0,11
5	1,178097	1,480043	22	0,20	0,23	0,08	0,01	0,06	0,14
6	1,963495	1,480043	23	0,32	0,24	0,06	0,03	0,07	0,08
7	2,748894	1,480043	22	0,11	0,16	0,05	0,03	0,03	0,08
8	3,534292	1,480043	20	0,07	0,19	0,13	0,04	0,02	0,09
9	4,319690	1,480043	36	0,02	0,26	0,11	0,05	0,03	0,17
10	5,105088	1,480043	25	0,24	0,47	0,13	0,03	0,06	0,17
11	5,890486	1,480043	28	0,12	0,23	-0,06	0,07	-0,03	0,14
12	0,261799	1,434608	28	0,01	0,40	-0,01	0,02	0,00	0,10
13	0,785398	1,434608	22	-0,12	0,27	-0,05	0,04	-0,03	0,14
14	1,308997	1,434608	23	0,01	0,47	-0,03	0,07	0,01	0,11
15	1,832596	1,434608	20	0,25	0,20	0,01	0,02	0,06	0,08
16	2,356194	1,434608	24	0,07	0,29	0,02	0,03	0,06	0,17
17	2,879793	1,434608	22	0,14	0,35	0,15	0,10	0,04	0,21
18	3,403392	1,434608	32	0,03	0,19	0,00	0,01	-0,01	0,10
19	3,926991	1,434608	30	0,08	0,17	0,02	0,01	0,01	0,07
20	4,450590	1,434608	22	0,04	0,31	0,11	0,04	0,02	0,13
21	4,974188	1,434608	24	0,11	0,21	-0,05	0,01	-0,01	0,13
22	5,497787	1,434608	26	-0,03	0,54	0,04	0,06	-0,01	0,21
23	6,021386	1,434608	24	0,47	0,36	0,37	0,07	0,11	0,13
24	0,196350	1,389103	27	0,05	0,46	0,00	0,01	0,01	0,11
25	0,589049	1,389103	26	-0,02	0,25	0,02	0,02	0,02	0,11
26	0,981748	1,389103	27	0,02	0,31	0,01	0,04	0,02	0,17
